model,scenario,region,variable,unit,2025,2030,2035,2040,2045,2050
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Gases|Efuel,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Gases|Natural Gas,TWh/yr,15.41348873279311,29.80112354676917,20.93689640428672,6.529702519914861,1.259847163159833,0.2065409232432167
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Hydrogen,TWh/yr,0.0,0.0005235875965841667,0.02613291456099722,0.1792354354348161,0.044399553635635,0.008907651972142222
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|LDV,TWh/yr,341.3782056801695,270.28650320151,194.26688730339,137.480053996,110.499479903,103.265076436
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|LDV|Electricity,TWh/yr,17.715905996,48.012746218,76.235154507,92.888946268,99.663190143,101.72015711
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|LDV|Gases,TWh/yr,6.922359255999999,8.337561294,5.810612349,2.984821437,0.913175892,0.142594819
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|LDV|Hydrogen,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|LDV|Liquids,TWh/yr,316.7399404281695,213.93619568951,112.22112044739,41.606286291,9.923113868,1.402324507
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|LDV|Liquids|Biomass,TWh/yr,21.0632060384733,15.61734228533422,10.99766980384422,7.530737818671,1.796083610108,0.253820735767
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|LDV|Liquids|Efuel,TWh/yr,0.0,2.1393619568951,11.222112044739,8.3212572582,2.480778467,0.4206973521
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|LDV|Liquids|Petroleum,TWh/yr,295.6767343896944,196.1794914472806,90.00133859880667,25.754291214129,5.646251790891972,0.727806419133
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|LDV|Liquids|Synthetic Fossil,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Liquids,TWh/yr,502.3693885379834,340.9056522446055,180.2182016081964,74.18079041570222,25.79182491235872,13.7121365251055
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Liquids|Biomass,TWh/yr,32.78596346826583,24.57068404242764,18.36080710414036,14.20603405346953,6.082123029745667,4.27602853742575
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Liquids|Efuel,TWh/yr,0.0,3.409056522446056,17.34929771222631,13.51529200139917,5.259886714973056,4.644449190188944
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Liquids|Petroleum,TWh/yr,469.5834250697166,312.9259116797306,144.5080967918297,46.45946436083361,14.44981516763994,4.791658797490778
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Liquids|Synthetic Fossil,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Rail,TWh/yr,13.38745268336725,13.8546376267718,13.80074367921089,13.142014800438,12.40599842419083,12.10397830065997
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Rail|Electricity,TWh/yr,10.77465714772431,11.73904205210422,12.34914201505303,12.43522851795133,12.40599842419083,12.10397830065997
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Rail|Freight,TWh/yr,4.476142334288361,4.023568892110139,3.79340321281425,3.776377290851083,3.778244098868305,3.749667676367111
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Rail|Gases,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Rail|Hydrogen,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Rail|Liquids,TWh/yr,2.612795535642919,2.115595574667589,1.451601664157842,0.7067862824866611,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Rail|Liquids|Biomass,TWh/yr,0.1737509031202542,0.1544384769507339,0.1422569630874684,0.1279283171300855,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Rail|Liquids|Efuel,TWh/yr,0.0,0.02115595574667583,0.1451601664157842,0.1413572564973322,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Rail|Liquids|Petroleum,TWh/yr,2.439044632522666,1.940001141970178,1.164184534654589,0.4375007088592416,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Rail|Liquids|Synthetic Fossil,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Rail|Passenger,TWh/yr,8.91131034907886,9.83106873466164,10.00734046639661,9.365637509586888,8.627754325322528,8.35431062429286
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Truck,TWh/yr,173.5261363067322,146.2649049543486,106.4766500147236,84.65436862286028,80.03371630595194,81.35491945558029
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Truck|Electricity,TWh/yr,1.393433082333555,14.29602204546947,38.62253045351583,63.63137615675639,75.43230359799443,79.55196993618611
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Truck|Gases,TWh/yr,11.21115690022719,26.7225840551403,18.82103047957261,4.697181527605694,0.5689972411292167,0.1003945024626078
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Truck|Hydrogen,TWh/yr,0.0,0.0005235875965841667,0.02613291456099722,0.1792354354348161,0.044399553635635,0.008907651972142222
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Truck|Liquids,TWh/yr,160.9215463241717,105.2457752661422,49.00695616707389,16.14657550306336,3.988015913192694,1.693647364959494
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Truck|Liquids|Biomass,TWh/yr,10.70128283055742,7.682941594428389,4.80268170437325,2.922530166054472,0.7218308802878778,0.3065501730576666
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Truck|Liquids|Efuel,TWh/yr,0.0,1.052457752661422,4.900695616707388,3.229315100612667,0.9970039782981749,0.5080942094878472
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Truck|Liquids|Petroleum,TWh/yr,150.2202634936142,96.5103759190525,39.30357884599333,9.994730236396222,2.26918105460665,0.8790029824139778
Aladin v1,ExPol,Deutschland,Final Energy|Transportation|Truck|Liquids|Synthetic Fossil,TWh/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation,billion EUR2020/yr,96.4822970913446,110.7129031670133,109.0345145222342,108.7975607078417,110.2288609681995,111.924048902064
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Bus,billion EUR2020/yr,1.869940554888035,2.173765213582957,1.810336728342519,1.809984554916962,2.076291015291662,1.318643915697138
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Bus|BEV,billion EUR2020/yr,1.499272237003482,2.082339532290302,1.748415867441054,1.801312381551759,2.076291015291662,1.318643915697138
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Bus|FCEV,billion EUR2020/yr,0.0,0.0,0.0,0.0,0.0,0.0
